Wavenumber (cm^-1),Absorption,,
3111.1,6.43E-22,,
3111.1,6.31E-22,,
3111,6.35E-22,,
3110.9,6.12E-22,,
3110.9,5.79E-22,,
3110.8,5.50E-22,,
3110.7,5.25E-22,,
3110.7,5.15E-22,,
3110.6,5.16E-22,,
3110.6,5.39E-22,,
3110.5,5.98E-22,,
3110.4,6.31E-22,,
3110.4,5.68E-22,,
3110.3,5.14E-22,,
3110.3,4.92E-22,,
3110.2,4.89E-22,,
3110.1,5.03E-22,,
3110.1,5.35E-22,,
3110,5.88E-22,,
3110,7.09E-22,,
3109.9,9.84E-22,,
3109.8,1.25E-21,,
3109.8,1.42E-21,,
3109.7,1.47E-21,,
3109.7,1.61E-21,,
3109.6,1.55E-21,,
3109.5,1.25E-21,,
3109.5,1.28E-21,,
3109.4,1.73E-21,,
3109.4,3.08E-21,,
3109.3,4.88E-21,,
3109.2,4.30E-21,,
3109.2,3.88E-21,,
3109.1,5.20E-21,,
3109.1,5.08E-21,,
3109,3.14E-21,,
3108.9,1.77E-21,,
3108.9,1.22E-21,,
3108.8,9.20E-22,,
3108.8,8.64E-22,,
3108.7,9.06E-22,,
3108.6,7.91E-22,,
3108.6,6.87E-22,,
3108.5,7.88E-22,,
3108.5,7.92E-22,,
3108.4,6.83E-22,,
3108.3,7.05E-22,,
3108.3,7.42E-22,,
3108.2,7.53E-22,,
3108.2,7.65E-22,,
3108.1,6.76E-22,,
3108,5.48E-22,,
3108,5.09E-22,,
3107.9,5.29E-22,,
3107.9,5.58E-22,,
3107.8,5.86E-22,,
3107.7,6.75E-22,,
3107.7,6.99E-22,,
3107.6,6.31E-22,,
3107.6,5.56E-22,,
3107.5,5.22E-22,,
3107.4,5.09E-22,,
3107.4,5.11E-22,,
3107.3,5.35E-22,,
3107.3,5.52E-22,,
3107.2,5.55E-22,,
3107.1,5.60E-22,,
3107.1,5.69E-22,,
3107,5.79E-22,,
3107,6.00E-22,,
3106.9,6.23E-22,,
3106.8,6.46E-22,,
3106.8,6.69E-22,,
3106.7,6.88E-22,,
3106.7,7.25E-22,,
3106.6,7.85E-22,,
3106.5,8.31E-22,,
3106.5,8.59E-22,,
3106.4,8.83E-22,,
3106.3,9.04E-22,,
3106.3,9.54E-22,,
3106.2,1.01E-21,,
3106.2,1.08E-21,,
3106.1,1.16E-21,,
3106,1.22E-21,,
3106,1.31E-21,,
3105.9,1.41E-21,,
3105.9,1.53E-21,,
3105.8,1.67E-21,,
3105.7,1.81E-21,,
3105.7,1.99E-21,,
3105.6,2.22E-21,,
3105.6,2.53E-21,,
3105.5,2.88E-21,,
3105.4,3.15E-21,,
3105.4,3.48E-21,,
3105.3,3.94E-21,,
3105.3,4.55E-21,,
3105.2,5.35E-21,,
3105.1,6.44E-21,,
3105.1,7.95E-21,,
3105,9.96E-21,,
3105,1.29E-20,,
3104.9,1.80E-20,,
3104.8,2.50E-20,,
3104.8,3.70E-20,,
3104.7,6.53E-20,,
3104.7,1.44E-19,,
3104.6,3.66E-19,,
3104.5,3.84E-19,,
3104.5,1.95E-19,,
3104.4,1.53E-19,,
3104.4,2.20E-19,,
3104.3,3.35E-19,,
3104.2,3.91E-19,,
3104.2,2.37E-19,,
3104.1,9.26E-20,,
3104.1,4.37E-20,,
3104,2.56E-20,,
3103.9,1.73E-20,,
3103.9,1.26E-20,,
3103.8,9.81E-21,,
3103.8,8.01E-21,,
3103.7,6.66E-21,,
3103.6,5.64E-21,,
3103.6,4.98E-21,,
3103.5,4.43E-21,,
3103.5,3.89E-21,,
3103.4,3.58E-21,,
3103.3,3.33E-21,,
3103.3,3.02E-21,,
3103.2,2.62E-21,,
3103.2,2.31E-21,,
3103.1,2.26E-21,,
3103,2.19E-21,,
3103,1.88E-21,,
3102.9,1.63E-21,,
3102.9,1.50E-21,,
3102.8,1.40E-21,,
3102.7,1.32E-21,,
3102.7,1.24E-21,,
3102.6,1.17E-21,,
3102.6,1.11E-21,,
3102.5,1.05E-21,,
3102.4,1.00E-21,,
3102.4,9.64E-22,,
3102.3,9.09E-22,,
3102.3,8.64E-22,,
3102.2,8.29E-22,,
3102.1,7.91E-22,,
3102.1,7.59E-22,,
3102,7.31E-22,,
3102,6.97E-22,,
3101.9,6.76E-22,,
3101.8,6.64E-22,,
3101.8,6.40E-22,,
3101.7,6.18E-22,,
3101.6,5.97E-22,,
3101.6,5.81E-22,,
3101.5,5.69E-22,,
3101.5,5.58E-22,,
3101.4,5.56E-22,,
3101.3,5.55E-22,,
3101.3,5.59E-22,,
3101.2,5.43E-22,,
3101.2,5.36E-22,,
3101.1,5.37E-22,,
3101,5.33E-22,,
3101,5.40E-22,,
3100.9,5.44E-22,,
3100.9,5.70E-22,,
3100.8,6.34E-22,,
3100.7,8.25E-22,,
3100.7,9.63E-22,,
3100.6,8.57E-22,,
3100.6,7.02E-22,,
3100.5,5.97E-22,,
3100.4,5.72E-22,,
3100.4,6.22E-22,,
3100.3,7.46E-22,,
3100.3,7.07E-22,,
3100.2,6.64E-22,,
3100.1,7.52E-22,,
3100.1,9.66E-22,,
3100,1.24E-21,,
3100,1.33E-21,,
3099.9,1.23E-21,,
3099.8,1.18E-21,,
3099.8,1.49E-21,,
3099.7,2.41E-21,,
3099.7,3.36E-21,,
3099.6,2.98E-21,,
3099.5,3.14E-21,,
3099.5,4.33E-21,,
3099.4,3.73E-21,,
3099.4,2.23E-21,,
3099.3,1.50E-21,,
3099.2,1.15E-21,,
3099.2,9.66E-22,,
3099.1,8.93E-22,,
3099.1,7.82E-22,,
3099,6.74E-22,,
