Wavenumber (cm^-1),Absorption,,
3064.2,9.95E-22,,
3064.2,1.09E-21,,
3064.1,1.03E-21,,
3064,9.07E-22,,
3064,8.17E-22,,
3063.9,7.69E-22,,
3063.9,7.47E-22,,
3063.8,7.25E-22,,
3063.7,7.29E-22,,
3063.7,7.21E-22,,
3063.6,7.23E-22,,
3063.6,7.31E-22,,
3063.5,7.50E-22,,
3063.4,7.77E-22,,
3063.4,8.59E-22,,
3063.3,9.88E-22,,
3063.3,1.25E-21,,
3063.2,1.65E-21,,
3063.1,2.07E-21,,
3063.1,2.33E-21,,
3063,2.30E-21,,
3063,1.94E-21,,
3062.9,1.31E-21,,
3062.8,9.67E-22,,
3062.8,8.63E-22,,
3062.7,9.36E-22,,
3062.7,1.01E-21,,
3062.6,8.77E-22,,
3062.5,7.26E-22,,
3062.5,6.68E-22,,
3062.4,6.71E-22,,
3062.4,6.86E-22,,
3062.3,6.41E-22,,
3062.2,6.14E-22,,
3062.2,6.23E-22,,
3062.1,6.49E-22,,
3062.1,7.10E-22,,
3062,8.74E-22,,
3061.9,1.15E-21,,
3061.9,1.13E-21,,
3061.8,9.19E-22,,
3061.8,8.79E-22,,
3061.7,9.52E-22,,
3061.6,9.15E-22,,
3061.6,8.31E-22,,
3061.5,8.68E-22,,
3061.5,8.75E-22,,
3061.4,8.13E-22,,
3061.3,7.41E-22,,
3061.3,7.22E-22,,
3061.2,7.13E-22,,
3061.2,7.22E-22,,
3061.1,7.55E-22,,
3061,8.20E-22,,
3061,9.53E-22,,
3060.9,1.43E-21,,
3060.8,2.48E-21,,
3060.8,2.65E-21,,
3060.7,1.72E-21,,
3060.7,1.09E-21,,
3060.6,9.23E-22,,
3060.5,8.81E-22,,
3060.5,8.81E-22,,
3060.4,9.09E-22,,
3060.4,9.56E-22,,
3060.3,9.93E-22,,
3060.2,1.06E-21,,
3060.2,1.23E-21,,
3060.1,1.50E-21,,
3060.1,1.49E-21,,
3060,1.32E-21,,
3059.9,1.26E-21,,
3059.9,1.24E-21,,
3059.8,1.30E-21,,
3059.8,1.42E-21,,
3059.7,1.55E-21,,
3059.6,1.52E-21,,
3059.6,1.51E-21,,
3059.5,1.57E-21,,
3059.5,1.65E-21,,
3059.4,1.72E-21,,
3059.3,1.83E-21,,
3059.3,1.95E-21,,
3059.2,2.08E-21,,
3059.2,2.21E-21,,
3059.1,2.39E-21,,
3059,2.60E-21,,
3059,2.87E-21,,
3058.9,3.15E-21,,
3058.9,3.43E-21,,
3058.8,3.80E-21,,
3058.7,4.20E-21,,
3058.7,4.67E-21,,
3058.6,5.26E-21,,
3058.6,6.00E-21,,
3058.5,6.93E-21,,
3058.4,8.08E-21,,
3058.4,9.56E-21,,
3058.3,1.16E-20,,
3058.3,1.43E-20,,
3058.2,1.82E-20,,
3058.1,2.36E-20,,
3058.1,3.23E-20,,
3058,4.78E-20,,
3058,7.50E-20,,
3057.9,1.23E-19,,
3057.8,2.35E-19,,
3057.8,5.12E-19,,
3057.7,7.76E-19,,
3057.7,5.56E-19,,
3057.6,2.43E-19,,
3057.5,1.18E-19,,
3057.5,6.77E-20,,
3057.4,4.34E-20,,
3057.4,3.01E-20,,
3057.3,2.21E-20,,
3057.2,1.69E-20,,
3057.2,1.34E-20,,
3057.1,1.10E-20,,
3057.1,9.16E-21,,
3057,7.78E-21,,
3056.9,6.67E-21,,
3056.9,5.80E-21,,
3056.8,5.12E-21,,
3056.8,4.57E-21,,
3056.7,4.08E-21,,
3056.6,3.69E-21,,
3056.6,3.43E-21,,
3056.5,3.16E-21,,
3056.5,2.81E-21,,
3056.4,2.53E-21,,
3056.3,2.32E-21,,
3056.3,2.14E-21,,
3056.2,1.98E-21,,
3056.1,1.85E-21,,
3056.1,1.74E-21,,
3056,1.64E-21,,
3056,1.60E-21,,
3055.9,1.62E-21,,
3055.8,1.52E-21,,
3055.8,1.35E-21,,
3055.7,1.28E-21,,
3055.7,1.21E-21,,
3055.6,1.15E-21,,
3055.5,1.08E-21,,
3055.5,1.04E-21,,
3055.4,1.01E-21,,
3055.4,1.05E-21,,
3055.3,1.10E-21,,
3055.2,1.02E-21,,
3055.2,9.28E-22,,
3055.1,9.26E-22,,
3055.1,9.79E-22,,
3055,1.07E-21,,
3054.9,1.07E-21,,
3054.9,9.52E-22,,
3054.8,8.41E-22,,
3054.8,7.71E-22,,
3054.7,7.51E-22,,
3054.6,7.84E-22,,
3054.6,7.42E-22,,
3054.5,6.62E-22,,
3054.5,6.17E-22,,
3054.4,6.01E-22,,
3054.3,5.96E-22,,
3054.3,5.99E-22,,
3054.2,6.37E-22,,
3054.2,6.45E-22,,
3054.1,6.39E-22,,
3054,6.27E-22,,
3054,6.41E-22,,
3053.9,7.29E-22,,
3053.9,8.87E-22,,
3053.8,9.17E-22,,
3053.7,8.40E-22,,
3053.7,9.32E-22,,
3053.6,1.23E-21,,
3053.6,1.57E-21,,
3053.5,1.90E-21,,
3053.4,2.30E-21,,
3053.4,2.23E-21,,
3053.3,1.57E-21,,
3053.3,1.08E-21,,
3053.2,7.93E-22,,
3053.1,6.43E-22,,
3053.1,5.94E-22,,
3053,6.38E-22,,
3053,7.44E-22,,
3052.9,6.85E-22,,
3052.8,5.45E-22,,
3052.8,4.80E-22,,
3052.7,4.58E-22,,
3052.7,4.82E-22,,
3052.6,4.88E-22,,
3052.5,4.35E-22,,
3052.5,4.16E-22,,
3052.4,4.17E-22,,
3052.4,4.15E-22,,
3052.3,4.19E-22,,
3052.2,4.61E-22,,
3052.2,4.93E-22,,
3052.1,4.64E-22,,
3052.1,4.52E-22,,
3052,4.70E-22,,
3051.9,4.72E-22,,
3051.9,4.62E-22,,
3051.8,4.74E-22,,
3051.7,5.30E-22,,
3051.7,5.46E-22,,
3051.6,4.87E-22,,
3051.6,4.38E-22,,
3051.5,4.31E-22,,
3051.4,4.24E-22,,
3051.4,4.19E-22,,
3051.3,4.17E-22,,
3051.3,4.16E-22,,
3051.2,4.19E-22,,
3051.1,4.26E-22,,
3051.1,4.31E-22,,
3051,4.53E-22,,
3051,4.67E-22,,
3050.9,4.66E-22,,
3050.8,4.79E-22,,
3050.8,4.97E-22,,
3050.7,5.09E-22,,
3050.7,5.09E-22,,
3050.6,5.32E-22,,
3050.5,5.69E-22,,
3050.5,5.69E-22,,
3050.4,5.72E-22,,
3050.4,6.09E-22,,
3050.3,6.74E-22,,
3050.2,6.95E-22,,
3050.2,6.76E-22,,
3050.1,6.82E-22,,
3050.1,7.00E-22,,
3050,7.48E-22,,
3049.9,8.10E-22,,
3049.9,8.73E-22,,
3049.8,9.79E-22,,
3049.8,1.02E-21,,
3049.7,9.95E-22,,
3049.6,1.01E-21,,
3049.6,1.07E-21,,
3049.5,1.16E-21,,
3049.5,1.27E-21,,
3049.4,1.37E-21,,
3049.3,1.48E-21,,
3049.3,1.64E-21,,
3049.2,1.82E-21,,
3049.2,2.03E-21,,
3049.1,2.29E-21,,
3049,2.68E-21,,
3049,3.28E-21,,
3048.9,3.86E-21,,
3048.9,4.18E-21,,
3048.8,4.74E-21,,
3048.7,5.75E-21,,
3048.7,7.28E-21,,
3048.6,9.05E-21,,
3048.6,1.13E-20,,
3048.5,1.53E-20,,
3048.4,2.23E-20,,
3048.4,3.63E-20,,
3048.3,6.52E-20,,
3048.3,1.28E-19,,
3048.2,2.74E-19,,
3048.1,3.17E-19,,
3048.1,1.54E-19,,
3048,7.12E-20,,
3048,3.82E-20,,
3047.9,2.34E-20,,
3047.8,1.57E-20,,
3047.8,1.13E-20,,
3047.7,8.56E-21,,
3047.7,6.74E-21,,
3047.6,5.45E-21,,
3047.5,4.51E-21,,
3047.5,3.80E-21,,
3047.4,3.26E-21,,
3047.4,2.82E-21,,
3047.3,2.48E-21,,
3047.2,2.21E-21,,
3047.2,1.98E-21,,
3047.1,1.76E-21,,
3047,1.59E-21,,
3047,1.45E-21,,
3046.9,1.33E-21,,
3046.9,1.22E-21,,
3046.8,1.14E-21,,
3046.7,1.06E-21,,
3046.7,9.99E-22,,
3046.6,9.31E-22,,
3046.6,8.68E-22,,
3046.5,8.20E-22,,
3046.4,7.79E-22,,
3046.4,7.58E-22,,
3046.3,7.37E-22,,
3046.3,7.16E-22,,
3046.2,7.27E-22,,
3046.1,8.56E-22,,
3046.1,1.02E-21,,
3046,1.04E-21,,
3046,8.63E-22,,
3045.9,7.01E-22,,
3045.8,6.00E-22,,
3045.8,5.35E-22,,
3045.7,4.87E-22,,
3045.7,4.58E-22,,
3045.6,4.41E-22,,
3045.5,4.29E-22,,
3045.5,4.10E-22,,
3045.4,3.96E-22,,
3045.4,3.85E-22,,
3045.3,3.75E-22,,
3045.2,3.68E-22,,
3045.2,3.67E-22,,
3045.1,3.66E-22,,
3045.1,3.78E-22,,
3045,4.01E-22,,
3044.9,4.23E-22,,
3044.9,4.12E-22,,
3044.8,4.64E-22,,
3044.8,4.90E-22,,
3044.7,4.07E-22,,
3044.6,3.73E-22,,
3044.6,3.85E-22,,
3044.5,3.74E-22,,
3044.5,3.54E-22,,
3044.4,3.58E-22,,
3044.3,3.94E-22,,
3044.3,4.40E-22,,
3044.2,5.30E-22,,
3044.2,6.85E-22,,
3044.1,7.62E-22,,
3044,7.93E-22,,
3044,1.04E-21,,
3043.9,1.52E-21,,
3043.9,1.77E-21,,
3043.8,1.67E-21,,
3043.7,1.30E-21,,
3043.7,9.46E-22,,
3043.6,8.07E-22,,
3043.6,6.53E-22,,
3043.5,4.87E-22,,
3043.4,3.98E-22,,
3043.4,3.40E-22,,
3043.3,3.14E-22,,
3043.3,3.02E-22,,
3043.2,3.13E-22,,
3043.1,3.09E-22,,
3043.1,3.19E-22,,
3043,3.37E-22,,
3043,3.35E-22,,
3042.9,3.48E-22,,
3042.8,4.05E-22,,
3042.8,5.62E-22,,
3042.7,6.96E-22,,
3042.6,7.88E-22,,
3042.6,1.25E-21,,
3042.5,1.15E-21,,
3042.5,9.02E-22,,
3042.4,1.25E-21,,
3042.3,9.85E-22,,
3042.3,5.47E-22,,
3042.2,4.35E-22,,
3042.2,4.19E-22,,
3042.1,5.16E-22,,
3042,5.43E-22,,
3042,3.96E-22,,
3041.9,3.10E-22,,
3041.9,2.81E-22,,
3041.8,2.74E-22,,
3041.7,2.79E-22,,
3041.7,2.95E-22,,
3041.6,2.82E-22,,
3041.6,2.70E-22,,
3041.5,2.70E-22,,
3041.4,2.79E-22,,
3041.4,2.81E-22,,
3041.3,2.78E-22,,
3041.3,2.79E-22,,
3041.2,2.85E-22,,
3041.1,2.94E-22,,
3041.1,2.94E-22,,
3041,2.94E-22,,
3041,2.96E-22,,
3040.9,3.12E-22,,
3040.8,3.27E-22,,
3040.8,3.67E-22,,
3040.7,4.16E-22,,
3040.7,4.20E-22,,
3040.6,4.06E-22,,
3040.5,4.15E-22,,
3040.5,4.46E-22,,
3040.4,5.28E-22,,
3040.4,5.89E-22,,
3040.3,5.64E-22,,
3040.2,5.36E-22,,
3040.2,5.20E-22,,
3040.1,5.03E-22,,
3040.1,5.18E-22,,
3040,5.29E-22,,
3039.9,5.65E-22,,
3039.9,5.93E-22,,
3039.8,6.50E-22,,
3039.8,7.06E-22,,
3039.7,7.83E-22,,
3039.6,8.60E-22,,
3039.6,9.82E-22,,
3039.5,1.18E-21,,
3039.5,1.51E-21,,
3039.4,1.71E-21,,
3039.3,1.77E-21,,
3039.3,1.88E-21,,
3039.2,1.95E-21,,
3039.2,2.16E-21,,
3039.1,2.53E-21,,
3039,3.07E-21,,
3039,3.81E-21,,
3038.9,4.90E-21,,
3038.9,6.55E-21,,
3038.8,9.32E-21,,
3038.7,1.44E-20,,
3038.7,2.51E-20,,
3038.6,4.85E-20,,
3038.6,1.04E-19,,
3038.5,1.59E-19,,
3038.4,9.64E-20,,
3038.4,4.27E-20,,
3038.3,2.19E-20,,
3038.3,1.30E-20,,
3038.2,8.78E-21,,
3038.1,6.47E-21,,
3038.1,4.88E-21,,
3038,3.73E-21,,
3037.9,3.03E-21,,
3037.9,2.48E-21,,
3037.8,2.06E-21,,
3037.8,1.75E-21,,
3037.7,1.53E-21,,
3037.6,1.36E-21,,
3037.6,1.24E-21,,
3037.5,1.12E-21,,
3037.5,1.02E-21,,
3037.4,9.77E-22,,
3037.3,1.01E-21,,
3037.3,9.80E-22,,
3037.2,8.79E-22,,
3037.2,7.89E-22,,
3037.1,7.15E-22,,
3037,6.69E-22,,
3037,6.10E-22,,
3036.9,5.55E-22,,
3036.9,5.10E-22,,
3036.8,4.76E-22,,
3036.7,4.48E-22,,
3036.7,4.31E-22,,
3036.6,4.14E-22,,
3036.6,3.99E-22,,
3036.5,3.76E-22,,
3036.4,3.71E-22,,
3036.4,3.63E-22,,
3036.3,3.64E-22,,
3036.3,3.76E-22,,
3036.2,3.77E-22,,
3036.1,3.37E-22,,
3036.1,3.18E-22,,
3036,3.08E-22,,
3036,3.04E-22,,
3035.9,2.94E-22,,
3035.8,3.01E-22,,
3035.8,3.11E-22,,
3035.7,3.12E-22,,
3035.7,2.96E-22,,
3035.6,2.94E-22,,
3035.5,2.83E-22,,
3035.5,2.74E-22,,
3035.4,2.77E-22,,
3035.4,2.87E-22,,
3035.3,2.97E-22,,
3035.2,3.24E-22,,
3035.2,3.98E-22,,
3035.1,4.31E-22,,
3035.1,3.99E-22,,
3035,3.98E-22,,
3034.9,4.76E-22,,
3034.9,6.99E-22,,
3034.8,9.87E-22,,
3034.8,9.45E-22,,
3034.7,6.71E-22,,
3034.6,4.65E-22,,
3034.6,3.75E-22,,
3034.5,3.40E-22,,
3034.5,3.29E-22,,
3034.4,3.52E-22,,
3034.3,4.10E-22,,
3034.3,4.24E-22,,
3034.2,4.81E-22,,
3034.2,6.38E-22,,
3034.1,9.10E-22,,
3034,8.41E-22,,
3034,5.33E-22,,
3033.9,4.02E-22,,
3033.9,3.36E-22,,
3033.8,2.81E-22,,
3033.7,2.58E-22,,
3033.7,2.56E-22,,
3033.6,2.60E-22,,
3033.5,2.54E-22,,
3033.5,2.45E-22,,
3033.4,2.55E-22,,
3033.4,2.72E-22,,
3033.3,2.91E-22,,
3033.2,3.18E-22,,
3033.2,3.13E-22,,
3033.1,2.74E-22,,
3033.1,2.58E-22,,
3033,2.46E-22,,
3032.9,2.51E-22,,
3032.9,2.43E-22,,
3032.8,2.65E-22,,
3032.8,2.78E-22,,
3032.7,3.05E-22,,
3032.6,2.84E-22,,
3032.6,2.79E-22,,
3032.5,2.73E-22,,
3032.5,3.11E-22,,
3032.4,3.25E-22,,
3032.3,3.45E-22,,
3032.3,3.59E-22,,
3032.2,4.64E-22,,
3032.2,6.53E-22,,
3032.1,1.33E-21,,
3032,1.69E-21,,
3032,1.18E-21,,
3031.9,1.24E-21,,
3031.9,1.22E-21,,
3031.8,1.03E-21,,
3031.7,7.07E-22,,
3031.7,4.73E-22,,
3031.6,4.21E-22,,
3031.6,3.79E-22,,
3031.5,3.61E-22,,
3031.4,3.38E-22,,
3031.4,3.58E-22,,
3031.3,3.90E-22,,
3031.3,4.12E-22,,
3031.2,3.87E-22,,
3031.1,3.92E-22,,
3031.1,4.01E-22,,
3031,4.02E-22,,
3031,3.75E-22,,
3030.9,3.82E-22,,
3030.8,3.93E-22,,
3030.8,4.16E-22,,
3030.7,4.22E-22,,
3030.7,4.22E-22,,
3030.6,4.35E-22,,
3030.5,4.60E-22,,
3030.5,4.87E-22,,
3030.4,5.14E-22,,
3030.4,5.65E-22,,
3030.3,6.33E-22,,
3030.2,7.20E-22,,
3030.2,7.35E-22,,
3030.1,6.83E-22,,
3030.1,6.87E-22,,
3030,7.18E-22,,
3029.9,7.68E-22,,
3029.9,8.25E-22,,
3029.8,8.95E-22,,
3029.8,9.82E-22,,
3029.7,1.08E-21,,
3029.6,1.21E-21,,
3029.6,1.38E-21,,
3029.5,1.58E-21,,
3029.5,1.82E-21,,
3029.4,2.13E-21,,
3029.3,2.53E-21,,
3029.3,3.11E-21,,
3029.2,3.92E-21,,
3029.2,5.06E-21,,
3029.1,6.73E-21,,
3029,9.64E-21,,
3029,1.51E-20,,
3028.9,2.69E-20,,
3028.8,5.66E-20,,
3028.8,1.32E-19,,
3028.7,1.67E-19,,
3028.7,8.05E-20,,
3028.6,3.50E-20,,
3028.5,1.85E-20,,
3028.5,1.14E-20,,
3028.4,7.72E-21,,
3028.4,5.64E-21,,
3028.3,4.32E-21,,
3028.2,3.43E-21,,
3028.2,2.82E-21,,
3028.1,2.37E-21,,
3028.1,2.05E-21,,
3028,1.82E-21,,
3027.9,1.65E-21,,
3027.9,1.52E-21,,
3027.8,1.36E-21,,
3027.8,1.21E-21,,
3027.7,1.10E-21,,
3027.6,1.02E-21,,
3027.6,9.53E-22,,
3027.5,9.06E-22,,
3027.5,8.96E-22,,
3027.4,9.34E-22,,
3027.3,1.02E-21,,
3027.3,1.06E-21,,
3027.2,9.08E-22,,
3027.2,7.66E-22,,
3027.1,6.90E-22,,
3027,6.52E-22,,
3027,6.47E-22,,
3026.9,6.47E-22,,
3026.9,6.73E-22,,
3026.8,7.20E-22,,
3026.7,6.75E-22,,
3026.7,6.09E-22,,
3026.6,5.79E-22,,
3026.6,5.41E-22,,
3026.5,5.36E-22,,
3026.4,5.39E-22,,
3026.4,5.57E-22,,
3026.3,5.35E-22,,
3026.3,5.28E-22,,
3026.2,5.17E-22,,
3026.1,5.41E-22,,
3026.1,5.50E-22,,
3026,5.66E-22,,
3026,5.73E-22,,
3025.9,5.85E-22,,
3025.8,6.23E-22,,
3025.8,6.97E-22,,
3025.7,8.12E-22,,
3025.7,8.75E-22,,
3025.6,8.51E-22,,
3025.5,8.81E-22,,
3025.5,9.27E-22,,
3025.4,1.05E-21,,
3025.4,1.22E-21,,
3025.3,1.07E-21,,
3025.2,8.29E-22,,
3025.2,7.55E-22,,
3025.1,8.46E-22,,
3025.1,9.77E-22,,
3025,9.38E-22,,
3024.9,9.78E-22,,
3024.9,1.32E-21,,
3024.8,2.42E-21,,
3024.8,5.37E-21,,
3024.7,5.18E-21,,
3024.6,2.40E-21,,
3024.6,1.54E-21,,
3024.5,1.22E-21,,
3024.4,9.84E-22,,
3024.4,8.91E-22,,
3024.3,1.04E-21,,
3024.3,1.22E-21,,
3024.2,1.07E-21,,
3024.1,8.39E-22,,
3024.1,7.27E-22,,
3024,6.74E-22,,
3024,6.54E-22,,
3023.9,6.50E-22,,
3023.8,6.51E-22,,
3023.8,6.47E-22,,
3023.7,6.53E-22,,
3023.7,6.73E-22,,
3023.6,7.06E-22,,
3023.5,7.42E-22,,
3023.5,7.48E-22,,
3023.4,7.43E-22,,
3023.4,7.28E-22,,
3023.3,7.47E-22,,
3023.2,7.57E-22,,
3023.2,8.02E-22,,
3023.1,8.72E-22,,
3023.1,1.08E-21,,
3023,1.23E-21,,
3022.9,1.11E-21,,
3022.9,9.73E-22,,
3022.8,9.26E-22,,
3022.8,9.26E-22,,
3022.7,9.46E-22,,
3022.6,9.55E-22,,
3022.6,9.55E-22,,
3022.5,9.72E-22,,
3022.5,1.02E-21,,
3022.4,1.05E-21,,
3022.3,1.08E-21,,
3022.3,1.13E-21,,
3022.2,1.20E-21,,
3022.2,1.25E-21,,
3022.1,1.33E-21,,
3022,1.46E-21,,
3022,1.64E-21,,
3021.9,1.90E-21,,
3021.9,2.31E-21,,
3021.8,2.80E-21,,
3021.7,3.13E-21,,
3021.7,3.77E-21,,
3021.6,5.20E-21,,
3021.6,8.26E-21,,
3021.5,1.27E-20,,
3021.4,1.65E-20,,
3021.4,1.79E-20,,
3021.3,1.62E-20,,
3021.3,1.36E-20,,
3021.2,1.52E-20,,
3021.1,1.61E-20,,
3021.1,1.41E-20,,
3021,1.28E-20,,
3021,1.19E-20,,
3020.9,1.16E-20,,
3020.8,1.08E-20,,
3020.8,9.79E-21,,
3020.7,7.96E-21,,
3020.7,6.87E-21,,
3020.6,6.55E-21,,
3020.5,6.60E-21,,
3020.5,6.26E-21,,
3020.4,6.08E-21,,
3020.4,5.59E-21,,
3020.3,4.87E-21,,
3020.2,4.61E-21,,
3020.2,4.64E-21,,
3020.1,4.71E-21,,
3020.1,4.74E-21,,
3020,4.86E-21,,
3019.9,4.92E-21,,
3019.9,5.10E-21,,
3019.8,5.36E-21,,
3019.7,5.68E-21,,
3019.7,6.07E-21,,
3019.6,6.58E-21,,
3019.6,7.12E-21,,
3019.5,7.76E-21,,
3019.4,8.52E-21,,
3019.4,9.53E-21,,
3019.3,1.08E-20,,
3019.3,1.25E-20,,
3019.2,1.47E-20,,
3019.1,1.78E-20,,
3019.1,2.25E-20,,
3019,3.02E-20,,
3019,4.32E-20,,
3018.9,7.12E-20,,
3018.8,1.31E-19,,
3018.8,1.63E-19,,
3018.7,1.79E-19,,
3018.7,2.78E-19,,
3018.6,3.84E-19,,
3018.5,4.53E-19,,
3018.5,3.73E-19,,
3018.4,2.88E-19,,
3018.4,3.27E-19,,
3018.3,3.58E-19,,
3018.2,4.28E-19,,
3018.2,3.71E-19,,
3018.1,2.18E-19,,
3018.1,1.58E-19,,
3018,1.65E-19,,
3017.9,2.46E-19,,
3017.9,4.39E-19,,
3017.8,6.29E-19,,
3017.8,6.55E-19,,
3017.7,5.35E-19,,
3017.6,3.34E-19,,
3017.6,2.42E-19,,
3017.5,2.96E-19,,
3017.5,3.95E-19,,
3017.4,3.77E-19,,
3017.3,4.20E-19,,
3017.3,5.01E-19,,
3017.2,4.99E-19,,
3017.2,3.84E-19,,
3017.1,2.35E-19,,
3017,1.67E-19,,
3017,1.88E-19,,
3016.9,2.06E-19,,
3016.9,1.61E-19,,
3016.8,1.70E-19,,
3016.7,2.49E-19,,
3016.7,3.25E-19,,
3016.6,4.38E-19,,
3016.6,6.02E-19,,
3016.5,6.71E-19,,
3016.4,4.87E-19,,
3016.4,3.27E-19,,
3016.3,2.51E-19,,
3016.3,1.58E-19,,
3016.2,1.01E-19,,
3016.1,8.55E-20,,
3016.1,9.88E-20,,
3016,1.44E-19,,
3016,1.59E-19,,
3015.9,1.67E-19,,
3015.8,2.72E-19,,
3015.8,3.32E-19,,
3015.7,3.66E-19,,
3015.7,4.03E-19,,
3015.6,2.74E-19,,
3015.5,1.41E-19,,
3015.5,8.29E-20,,
3015.4,6.35E-20,,
3015.3,6.35E-20,,
3015.3,8.52E-20,,
3015.2,1.44E-19,,
3015.2,1.64E-19,,
3015.1,1.65E-19,,
3015,1.99E-19,,
3015,1.89E-19,,
3014.9,1.65E-19,,
3014.9,1.59E-19,,
3014.8,2.14E-19,,
3014.7,3.46E-19,,
3014.7,3.59E-19,,
3014.6,2.06E-19,,
3014.6,1.01E-19,,
3014.5,5.76E-20,,
3014.4,4.63E-20,,
3014.4,5.42E-20,,
3014.3,7.63E-20,,
3014.3,8.26E-20,,
3014.2,9.02E-20,,
3014.1,1.13E-19,,
3014.1,1.17E-19,,
3014,7.54E-20,,
3014,4.66E-20,,
3013.9,4.60E-20,,
3013.8,6.90E-20,,
3013.8,1.18E-19,,
3013.7,1.74E-19,,
3013.7,1.27E-19,,
3013.6,8.24E-20,,
3013.5,7.04E-20,,
3013.5,6.17E-20,,
3013.4,5.43E-20,,
3013.4,3.90E-20,,
3013.3,3.41E-20,,
3013.2,4.84E-20,,
3013.2,8.99E-20,,
3013.1,1.22E-19,,
3013.1,9.65E-20,,
3013,5.37E-20,,
3012.9,4.68E-20,,
3012.9,5.24E-20,,
3012.8,4.86E-20,,
3012.8,5.17E-20,,
3012.7,8.52E-20,,
3012.6,1.75E-19,,
3012.6,1.54E-19,,
3012.5,6.75E-20,,
3012.5,3.46E-20,,
3012.4,2.10E-20,,
3012.3,1.78E-20,,
3012.3,2.28E-20,,
3012.2,2.98E-20,,
3012.2,2.54E-20,,
3012.1,3.43E-20,,
3012,4.70E-20,,
3012,3.53E-20,,
3011.9,2.80E-20,,
3011.9,2.79E-20,,
3011.8,2.95E-20,,
3011.7,2.51E-20,,
3011.7,2.05E-20,,
3011.6,2.04E-20,,
3011.6,2.27E-20,,
3011.5,4.04E-20,,
3011.4,7.52E-20,,
3011.4,4.10E-20,,
3011.3,1.90E-20,,
3011.3,1.52E-20,,
3011.2,1.22E-20,,
3011.1,9.22E-21,,
3011.1,9.67E-21,,
3011,1.31E-20,,
3011,2.78E-20,,
3010.9,4.68E-20,,
3010.8,3.81E-20,,
3010.8,3.01E-20,,
3010.7,2.66E-20,,
3010.6,2.32E-20,,
3010.6,1.65E-20,,
3010.5,1.27E-20,,
3010.5,1.15E-20,,
3010.4,9.78E-21,,
3010.3,1.10E-20,,
3010.3,1.78E-20,,
3010.2,4.63E-20,,
3010.2,7.89E-20,,
3010.1,3.43E-20,,
3010,1.35E-20,,
3010,8.13E-21,,
3009.9,6.56E-21,,
3009.9,6.96E-21,,
3009.8,8.80E-21,,
3009.7,1.21E-20,,
3009.7,1.84E-20,,
3009.6,1.61E-20,,
3009.6,1.12E-20,,
3009.5,8.41E-21,,
3009.4,6.21E-21,,
3009.4,6.63E-21,,
3009.3,8.73E-21,,
3009.3,1.09E-20,,
3009.2,1.07E-20,,
3009.1,1.33E-20,,
3009.1,2.26E-20,,
3009,4.12E-20,,
3009,3.73E-20,,
3008.9,3.13E-20,,
3008.8,3.79E-20,,
3008.8,2.29E-20,,
3008.7,1.49E-20,,
3008.7,1.18E-20,,
3008.6,9.82E-21,,
3008.5,9.89E-21,,
3008.5,1.18E-20,,
3008.4,1.92E-20,,
3008.4,1.91E-20,,
3008.3,1.10E-20,,
3008.2,7.79E-21,,
3008.2,7.38E-21,,
3008.1,8.66E-21,,
3008.1,1.05E-20,,
3008,1.36E-20,,
3007.9,1.46E-20,,
3007.9,1.06E-20,,
3007.8,7.70E-21,,
3007.8,7.87E-21,,
3007.7,1.06E-20,,
3007.6,1.22E-20,,
3007.6,1.22E-20,,
3007.5,1.83E-20,,
3007.5,3.21E-20,,
3007.4,1.99E-20,,
3007.3,9.62E-21,,
3007.3,7.38E-21,,
3007.2,6.75E-21,,
3007.2,7.55E-21,,
3007.1,8.88E-21,,
3007,8.65E-21,,
3007,7.50E-21,,
3006.9,9.20E-21,,
3006.9,1.22E-20,,
3006.8,1.29E-20,,
3006.7,9.49E-21,,
3006.7,5.95E-21,,
3006.6,5.89E-21,,
3006.6,6.26E-21,,
3006.5,4.57E-21,,
3006.4,3.38E-21,,
3006.4,3.17E-21,,
3006.3,3.50E-21,,
3006.2,4.03E-21,,
3006.2,4.01E-21,,
3006.1,4.97E-21,,
3006.1,7.20E-21,,
3006,1.27E-20,,
3005.9,1.11E-20,,
3005.9,5.77E-21,,
3005.8,4.33E-21,,
3005.8,4.82E-21,,
3005.7,5.39E-21,,
3005.6,3.23E-21,,
3005.6,2.50E-21,,
3005.5,2.87E-21,,
3005.5,3.11E-21,,
3005.4,3.26E-21,,
3005.3,3.87E-21,,
3005.3,3.63E-21,,
3005.2,3.96E-21,,
3005.2,6.23E-21,,
3005.1,7.06E-21,,
3005,4.32E-21,,
3005,3.03E-21,,
3004.9,2.92E-21,,
3004.9,2.61E-21,,
3004.8,2.22E-21,,
3004.7,1.97E-21,,
3004.7,1.86E-21,,
3004.6,2.15E-21,,
3004.6,2.91E-21,,
3004.5,5.35E-21,,
3004.4,8.81E-21,,
3004.4,5.10E-21,,
3004.3,2.74E-21,,
3004.3,2.15E-21,,
3004.2,2.45E-21,,
3004.1,2.87E-21,,
3004.1,2.16E-21,,
3004,1.47E-21,,
3004,1.23E-21,,
3003.9,1.26E-21,,
3003.8,1.43E-21,,
3003.8,1.61E-21,,
3003.7,1.88E-21,,
3003.7,2.09E-21,,
3003.6,1.98E-21,,
3003.5,2.24E-21,,
3003.5,2.70E-21,,
3003.4,2.26E-21,,
3003.4,1.86E-21,,
3003.3,1.74E-21,,
3003.2,1.87E-21,,
