2940.003156,1.20E-29,0.046,0.59,-0.0058,2183.7029
2940.018851,9.02E-27,0.046,0.61,-0.0058,1417.7528
2940.035287,3.53E-25,0.032,0.75,-0.00588,1639.7456
2940.042453,4.23E-25,0.039,0.75,-0.00588,1756.1498
2940.045476,7.44E-28,0.046,0.6,-0.0058,1778.205
2940.074926,1.77E-29,0.043,0.57,-0.0058,2861.8477
2940.095469,5.94E-25,0.044,0.75,-0.00588,1553.9897
2940.108599,3.87E-28,0.045,0.6,-0.0058,1780.312
2940.120167,2.59E-26,0.039,0.62,-0.0058,1251.7797
2940.142485,6.88E-28,0.044,0.6,-0.0058,1974.0406
2940.14728,2.01E-28,0.038,0.6,-0.0058,1778.2043
2940.162873,6.45E-28,0.045,0.6,-0.0058,1778.2046
2940.169842,6.43E-29,0.045,0.58,-0.0058,2395.4768
2940.171685,5.29E-29,0.044,0.58,-0.0058,2625.1787
2940.174415,3.42E-25,0.047,0.75,-0.00588,1526.2146
2940.174463,2.11E-27,0.046,0.6,-0.0058,1778.205
2940.175224,5.53E-28,0.039,0.62,-0.0058,1095.2512
2940.181467,1.08E-26,0.044,0.58,-0.0058,2625.771
2940.18412,7.56E-28,0.045,0.61,-0.0058,1594.3831
2940.19762,2.67E-25,0.047,0.61,-0.0058,1593.7844
2940.19881,2.63E-28,0.038,0.6,-0.0058,1975.0146
2940.243896,1.32E-25,0.046,0.61,-0.0058,1593.8783
2940.249004,3.50E-26,0.047,0.62,-0.0058,1251.6466
2940.252051,6.76E-26,0.046,0.61,-0.0058,1417.5197
2940.258175,1.96E-24,0.044,0.75,-0.005881,1555.3931
2940.272862,4.27E-25,0.039,0.75,-0.005881,1992.4103
2940.280471,8.01E-26,0.038,0.61,-0.0058,1593.9281
2940.281432,1.58E-26,0.046,0.61,-0.0058,1416.554
2940.281486,1.90E-25,0.047,0.61,-0.0058,1417.5791
2940.29642,1.09E-27,0.046,0.61,-0.0058,1418.1371
2940.312105,4.05E-26,0.038,0.61,-0.0058,1417.4993
2940.326285,4.70E-28,0.046,0.61,-0.0058,1418.0989
2940.372617,4.46E-25,0.045,0.75,-0.005881,1759.1685
2940.383944,1.21E-27,0.045,0.6,-0.0058,1778.2046
2940.391856,2.48E-27,0.045,0.6,-0.0058,1780.7474
2940.396932,4.38E-24,0.044,0.75,-0.005881,1553.9897
2940.404853,1.22E-28,0.038,0.61,-0.0058,1418.1185
2940.43626,1.18E-27,0.045,0.6,-0.0058,1779.9844
2940.447483,3.71E-27,0.044,0.6,-0.0058,1975.7249
2940.457186,1.35E-26,0.045,0.6,-0.0058,1779.0244
2940.462383,2.26E-26,0.038,0.6,-0.0058,1779.6511
2940.464478,6.50E-28,0.045,0.6,-0.0058,1779.0302
2940.477621,2.28E-23,0.044,0.75,-0.005881,1593.0261
2940.509012,1.10E-23,0.047,0.62,-0.0058,1096.1329
2940.51001,1.01E-23,0.06,0.73,-0.00756,293.1785
2940.533082,2.45E-23,0.048,0.62,-0.0058,1095.8286
2940.536202,5.91E-23,0.056,0.7,-0.0058,293.17
2940.541195,2.71E-26,0.045,0.61,-0.0058,1594.0259
2940.560496,4.36E-27,0.046,0.61,-0.0058,1593.5616
2940.56561,4.27E-23,0.0609,0.73,-0.00791,293.1229
2940.577829,7.57E-25,0.044,0.75,-0.005881,1641.1647
2940.592223,5.54E-24,0.039,0.62,-0.0058,1251.3076
2940.59378,8.28E-24,0.047,0.62,-0.0058,1251.3018
2940.59585,1.38E-23,0.048,0.62,-0.0058,1251.2913
2940.611686,1.94E-23,0.047,0.62,-0.0058,1096.1709
2940.612685,8.75E-26,0.046,0.61,-0.0058,1594.0259
2940.615512,8.12E-27,0.046,0.59,-0.0058,2183.0935
2940.618085,2.15E-28,0.046,0.61,-0.0058,1417.8071
2940.618255,1.46E-26,0.045,0.61,-0.0058,1594.3447
2940.622158,2.24E-25,0.044,0.75,-0.005881,1639.9042
2940.640554,4.73E-23,0.0604,0.73,-0.0077,293.1644
2940.651951,6.39E-28,0.046,0.61,-0.0058,1417.1198
2940.670947,2.44E-22,0.061,0.73,-0.00721,293.1785
2940.670993,2.34E-24,0.039,0.75,-0.005881,1754.8856
2940.678554,1.12E-23,0.0593,0.73,-0.00811,293.1264
2940.68072,9.15E-29,0.046,0.61,-0.0058,1417.7528
2940.699939,2.59E-24,0.029,0.75,-0.005881,1754.9077
2940.705267,1.58E-29,0.043,0.57,-0.0058,2861.2173
2940.716035,5.86E-27,0.046,0.59,-0.0058,2182.99
2940.724436,1.12E-29,0.046,0.59,-0.0058,2183.6846
2940.726547,4.82E-24,0.0583,0.73,-0.00823,293.1229
2940.770431,1.15E-23,0.039,0.62,-0.0058,1096.1569
2940.772812,8.26E-24,0.047,0.62,-0.0058,1095.8691
2940.790095,4.62E-24,0.047,0.62,-0.0058,1096.1709
2940.801286,3.38E-24,0.047,0.62,-0.0058,1095.9813
