Repair Costs ($ 2006)
400
1000
1500
400
177
2000
8000
200
214
177
8000
2000
500
500
30
200
200
2000
200
245
177
400
400
200
60
200
400
300
200
2000
200
2000
2000
2000
190
200
2000
200
200
200
200
200
15
2000
20
200
400
30
25
30
400
8000
245
400
20
100
8000
200
20
400
200
200
400
200
2000
200
200
60
100
1500
2000
400
2000
50
200
2000
200
30
4000
282
20
100
8000
100
200
2000
2000
200
100
200
75
200
4000
2000
2000
500
30
1500
400
200
100
200
200
300
2000
8000
2000
2000
400
400
30
400
200
200
200
100
190
100
100
60
200
200
400
141
400
2000
2000
175
282
8000
2000
400
2000
2000
200
2000
2000
2000
100
30
400
2000
200
2000
20
50
200
2000
2000
2000
200
60
400
200
2000
8000
20
2000
2000
400
30
8000
350
200
200
200
2000
500
2000
2000
2000
2000
20
200
2000
200
200
150
200
2000
200
30
200
8000
100
100
50
282
2000
400
2000
200
200
75
120
60
100
2000
150
8000
200
2000
30
200
75
2000
50
200
200
30
60
200
200
200
350
50
200
50
120
50
50
120
400
130
2000
50
8000
400
200
400
2000
60
2000
200
400
595
400
100
20
200
100
2000
500
200
30
400
100
282
30
100
245
200
245
60
200
30
200
30
5000
2000
200
400
200
30
245
200
30
100
200
2000
100
200
75
200
120
4000
4000
400
150
200
282
2000
500
200
200
300
75
350
200
50
200
100
200
60
2000
400
400
20
30
30
150
2000
20
60
30
400
2000
75
200
500
200
100
150
2000
60
400
100
200
60
60
75
20
400
30
2000
2000
2000
2000
30
200
30
2000
150
30
30
200
200
60
30
75
50
50
190
400
20
75
200
30
150
60
30
30
200
190
20
30
200
60
200
20
2000
200
2000
30
282
200
400
5000
100
30
30
30
30
100
60
400
200
30
200
130
20
50
200
200
20
20
50
400
200
50
30
200
150
282
8000
200
30
245
200
20
8000
60
30
200
2000
200
30
15
400
60
200
245
30
30
200
2000
2000
200
2000
200
200
200
2000
400
2000
15
60
30
15
50
30
200
75
30
120
100
200
75
60
200
200
20
100
30
190
75
20
200
100
30
200
15
200
190
200
200
30
100
120
30
20
200
2
30
175
190
2
200
30
75
200
200
200
60
75
75
200
50
2
75
30
200
400
150
75
75
60
50
30
60
30
60
60
200
30
30
20
50
100
60
190
75
282
0
30
75
30
30
100
2000
30
20
200
245
130
50
30
200
2000
2000
2000
2000
130
100
60
50
190
75
2000
50
75
400
20
100
200
200
200
50
1000
30
100
560
175
75
30
2000
30
30
30
75
30
15
200
50
2000
20
200
120
500
560
30
200
200
30
30
130
75
75
200
30
200
100
50
135
20
75
200
200
75
200
30
190
20
20
175
30
50
30
200
200
60
350
60
60
8000
135
2000
4000
200
130
50
2000
30
50
30
30
30
560
2000
245
30
30
200
400
30
50
60
595
2000
30
30
177
400
30
30
120
200
50
100
60
20
50
30
190
30
120
300
175
175
200
2000
2000
30
50
130
30
30
400
400
30
200
30
20
20
200
20
2000
75
30
30
100
30
20
30
177
130
20
75
30
25
20
150
20
60
30
190
60
200
400
30
50
30
75
30
30
20
200
50
200
400
30
20
30
200
75
30
20
500
30
282
20
75
200
30
30
30
30
100
60
50
30
200
30
30
30
190
20
50
20
50
30
20
50
20
20
30
30
400
75
60
30
30
75
177
30
100
60
130
60
200
20
2000
30
60
20
120
200
75
20
0
30
20
30
50
60
400
200
20
30
100
30
2000
60
175
30
2000
20
30
200
50
30
30
20
30
200
60
75
75
200
30
200
60
30
20
20
60
200
200
30
30
200
30
200
30
175
60
30
15
200
30
75
30
60
200
200
400
150
175
20
30
400
200
175
200
30
400
130
300
282
50
120
15
30
75
50
30
30
30
60
30
245
20
60
190
100
2000
200
200
75
75
75
15
50
50
30
30
30
190
200
30
8000
20
100
30
20
50
30
75
30
50
100
245
30
25
150
20
20
20
200
100
30
200
100
100
75
500
175
60
50
20
0
60
400
200
60
177
30
30
20
30
30
30
75
0
50
400
60
20
50
200
30
400
300
200
400
30
20
20
50
200
15
30
30
200
200
200
30
400
400
175
30
30
30
400
100
20
75
400
75
282
30
50
30
50
60
20
20
20
500
200
60
100
30
60
30
177
200
30
30
2000
30
177
30
30
30
400
30
200
60
30
200
25
400
30
150
400
2000
60
282
50
60
30
30
75
20
200
30
25
30
30
30
20
30
75
60
60
30
30
30
30
20
30
30
15
20
400
120
75
75
30
50
20
30
75
200
30
20
30
2000
200
20
50
500
60
200
50
25
30
30
75
50
60
30
120
400
120
400
200
190
200
30
200
400
30
100
20
200
30
30
150
30
400
200
50
30
20
200
400
60
120
60
30
30
25
30
459
100
30
20
400
75
190
75
150
75
175
2000
500
177
75
500
30
20
200
100
50
30
20
30
30
400
200
200
500
50
120
20
120
120
75
75
141
20
30
200
60
20
30
30
20
20
30
200
30
30
177
30
20
120
60
20
30
75
30
60
2000
20
100
245
30
350
15
30
50
75
60
20
60
30
30
75
50
2000
245
500
50
20
15
200
60
30
60
190
25
75
60
75
2000
2000
50
75
75
30
20
60
75
2000
25
60
120
60
20
50
120
60
75
200
75
150
60
60
60
30
20
350
20
150
75
20
200
60
60
20
200
25
60
50
200
20
60
400
120
20
60
15
25
2000
20
75
60
30
20
282
75
30
20
20
15
30
15
2000
30
2000
30
30
30
30
30
30
2000
190
200
30
60
30
500
30
30
30
120
30
200
130
150
20
30
75
200
30
60
20
20
20
141
75
60
20
50
20
100
30
30
20
50
30
75
30
20
30
30
20
60
75
60
75
245
30
20
20
30
30
30
50
190
60
100
75
30
120
100
60
25
200
130
60
20
30
30
75
75
75
75
50
50
20
175
190
60
20
20
200
130
20
120
30
30
15
20
20
245
75
75
30
30
150
20
20
75
120
200
130
60
175
25
20
60
30
30
30
20
20
100
30
20
20
30
60
20
20
20
200
75
200
20
8000
15
20
190
200
30
20
50
25
75
30
30
60
30
120
75
20
20
200
75
100
30
75
30
60
75
245
20
20
200
60
50
60
245
20
200
30
30
120
75
141
30
30
50
30
30
30
50
20
60
50
15
30
60
60
20
60
100
20
75
75
75
20
200
60
60
20
30
60
30
60
30
595
75
60
20
30
30
30
30
30
100
30
20
60
30
30
30
200
30
200
30
30
20
20
400
20
15
150
2000
60
20
30
200
60
130
15
120
60
15
400
350
20
100
100
75
60
177
25
75
130
177
75
20
75
75
200
60
60
30
500
60
30
500
60
30
50
60
60
400
30
100
20
15
30
50
100
400
200
200
20
30
200
75
30
30
350
15
120
20
30
30
20
500
130
400
60
60
30
130
50
400
50
20
130
60
60
30
30
30
20
60
30
50
120
30
60
20
30
100
353
400
75
400
75
120
75
60
120
75
60
75
100
60
120
190
60
0
75
150
175
30
30
600
301
20
20
20
30
30
20
30
20
30
30
20
20
400
20
20
2000
30
400
15
60
200
100
75
30
50
30
400
60
60
20
30
200
190
60
60
30
15
30
200
200
200
20
60
30
75
20
30
60
20
20
60
30
282
200
50
30
130
75
175
30
60
60
15
130
100
30
